1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0	0	0	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	0	0	0	0	1
1	0	0	0	b	b	b	b	b	b	b	b	b	b	b	b	b	1	w	w	w	w	w	1	b	b	b	b	b	b	b	b	b	b	b	b	b	b	0	0	0	0	1
1	0	0	w	w	w	w	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	p2	0	0	1
1	0	0	w	w	w	w	0	0	0	0	0	0	0	0	0	0	1	b	b	b	b	b	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
1	0	0	w	w	w	w	0	0	1	0	0	0	0	0	0	0	0	b	b	b	b	b	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	b	b	1
1	b	b	w	w	w	w	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	b	b	b	b	0	0	0	1	0	0	0	0	0	0	b	b	1
1	b	b	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	b	b	b	b	0	0	0	1	0	0	0	0	0	0	b	b	1
1	b	b	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	b	b	b	b	b	0	0	0	b	b	b	b	0	0	0	1	0	0	0	0	0	0	b	b	1
1	b	b	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	b	w	w	w	b	0	0	0	b	b	b	b	0	0	0	1	1	1	1	1	0	0	b	b	1
1	b	b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	b	w	w	w	b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	b	b	1
1	b	b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	b	w	w	w	b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	b	b	1
1	b	b	0	0	1	1	1	1	1	0	b	b	b	b	0	0	0	b	b	b	b	b	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	b	b	1
1	b	b	0	0	0	0	0	0	1	0	b	b	b	b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	b	b	1
1	b	b	0	0	0	0	0	0	1	0	b	b	b	b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	b	b	1
1	b	b	0	0	0	0	0	0	1	0	b	b	b	b	0	0	0	b	b	b	b	b	0	0	0	0	0	0	0	0	0	0	1	0	0	w	w	w	w	b	b	1
1	b	b	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	b	b	b	b	b	1	0	0	0	0	0	0	0	0	0	1	0	0	w	w	w	w	0	0	1
1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	w	w	w	w	0	0	1
1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	w	w	w	w	w	1	0	0	0	0	0	0	0	0	0	0	0	0	w	w	w	w	0	0	1
1	0	0	p1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	w	w	w	w	0	0	1
1	0	0	b	b	b	b	b	b	b	b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	0	b	b	b	b	b	b	b	b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
